PRODUCT_CATEGORY,PRODUCT_TYPE,PRODUCT_DETAIL,STORE_LOCATION,NUMBER_OR_ROWS,NUMBER_OF_SALES,NUMBER_OF_UNITS_SOLD,REVENUE_PER_TRANSACTION,TOTAL_REVENUE,MONTH_ID,MONTH_NAME,DAY_NAME,TIME_BUCKET,SPEND_TREND
Bakery,Pastry,Chocolate Croissant,Astoria,9,9,9,33.75,33.75,202306,Jun,Mon,Evening,High
Tea,Brewed Green tea,Serenity Green Tea Lg,Astoria,10,10,16,48.00,48.00,202306,Jun,Mon,Evening,High
Bakery,Pastry,Croissant,Astoria,6,6,6,21.00,21.00,202306,Jun,Mon,Evening,Low
Tea,Brewed Chai tea,Traditional Blend Chai Lg,Astoria,4,4,6,18.00,18.00,202301,Jan,Tue,Afternoon,Low
Packaged Chocolate,Organic Chocolate,Sustainably Grown Organic,Astoria,1,1,1,7.60,7.60,202301,Jan,Fri,Morning,Low
Coffee,Premium brewed coffee,Jamaican Coffee River Lg,Astoria,1,1,2,7.50,7.50,202302,Feb,Fri,Evening,Low
Bakery,Biscotti,Chocolate Chip Biscotti,Astoria,5,5,5,17.50,17.50,202302,Feb,Sun,Afternoon,Low
Coffee,Gourmet brewed coffee,Ethiopia Rg,Astoria,7,7,9,27.00,27.00,202304,Apr,Mon,Evening,Low
Tea,Brewed Chai tea,Morning Sunrise Chai Rg,Astoria,11,11,16,40.00,40.00,202306,Jun,Mon,Evening,High
Tea,Brewed herbal tea,Peppermint Rg,Astoria,9,9,12,30.00,30.00,202302,Feb,Sun,Afternoon,Low
Bakery,Pastry,Almond Croissant,Astoria,6,6,6,22.50,22.50,202306,Jun,Mon,Evening,Low
Coffee,Drip coffee,Our Old Time Diner Blend Lg,Astoria,8,8,11,33.00,33.00,202306,Jun,Mon,Evening,High
Tea,Brewed herbal tea,Peppermint Rg,Astoria,7,7,10,25.00,25.00,202306,Jun,Mon,Evening,Low
Tea,Brewed Chai tea,Traditional Blend Chai Rg,Astoria,9,9,12,30.00,30.00,202306,Jun,Mon,Evening,Low
Bakery,Biscotti,Ginger Biscotti,Astoria,1,1,1,3.50,3.50,202302,Feb,Fri,Evening,Low
Coffee,Barista Espresso,Latte,Astoria,1,1,1,3.75,3.75,202301,Jan,Thu,Evening,Low
Tea,Brewed herbal tea,Lemon Grass Lg,Astoria,7,7,11,33.00,33.00,202306,Jun,Mon,Evening,High
Tea,Brewed Chai tea,Morning Sunrise Chai Lg,Astoria,8,8,13,52.00,52.00,202306,Jun,Mon,Evening,High
Tea,Brewed herbal tea,Lemon Grass Rg,Astoria,17,17,28,70.00,70.00,202306,Jun,Mon,Evening,High
Tea,Brewed Black tea,English Breakfast Lg,Astoria,10,10,15,45.00,45.00,202306,Jun,Mon,Evening,High
Drinking Chocolate,Hot chocolate,Sustainably Grown Organic Rg,Astoria,1,1,2,7.50,7.50,202302,Feb,Sat,Evening,Low
Tea,Brewed Chai tea,Traditional Blend Chai Lg,Astoria,1,1,2,6.00,6.00,202302,Feb,Sun,Morning,Low
Coffee,Organic brewed coffee,Brazilian Lg,Astoria,9,9,15,52.50,52.50,202302,Feb,Sun,Afternoon,High
Bakery,Scone,Ginger Scone,Astoria,5,5,5,16.25,16.25,202303,Mar,Fri,Evening,Low
Coffee,Barista Espresso,Espresso shot,Astoria,9,9,12,36.00,36.00,202306,Jun,Thu,Afternoon,High
Coffee,Gourmet brewed coffee,Columbian Medium Roast Lg,Astoria,14,14,20,60.00,60.00,202306,Jun,Mon,Evening,High
Bakery,Biscotti,Chocolate Chip Biscotti,Astoria,1,1,1,3.50,3.50,202306,Jun,Mon,Evening,Low
Tea,Brewed Chai tea,Traditional Blend Chai Lg,Astoria,6,6,10,30.00,30.00,202306,Jun,Mon,Evening,Low
Tea,Brewed herbal tea,Peppermint Rg,Astoria,1,1,1,2.50,2.50,202302,Feb,Fri,Evening,Low
Coffee,Premium brewed coffee,Jamaican Coffee River Sm,Astoria,7,7,10,24.50,24.50,202303,Mar,Wed,Afternoon,Low
Bakery,Scone,Cranberry Scone,Astoria,5,5,5,16.25,16.25,202304,Apr,Mon,Evening,Low
Coffee,Barista Espresso,Latte Rg,Astoria,13,13,20,85.00,85.00,202306,Jun,Mon,Evening,High
Branded,Housewares,I Need My Bean! Diner mug,Astoria,1,1,1,12.00,12.00,202301,Jan,Mon,Afternoon,Low
Coffee,Organic brewed coffee,Brazilian Lg,Astoria,1,1,1,3.50,3.50,202302,Feb,Fri,Evening,Low
Bakery,Scone,Jumbo Savory Scone,Astoria,2,2,2,7.50,7.50,202302,Feb,Sat,Afternoon,Low
Tea,Brewed herbal tea,Lemon Grass Lg,Astoria,6,6,10,30.00,30.00,202301,Jan,Thu,Afternoon,Low
Coffee,Organic brewed coffee,Brazilian Sm,Astoria,12,12,18,39.60,39.60,202306,Jun,Mon,Evening,High
Loose Tea,Herbal tea,Peppermint,Astoria,1,1,1,8.95,8.95,202301,Jan,Mon,Afternoon,Low
Tea,Brewed Chai tea,Spicy Eye Opener Chai Lg,Astoria,20,20,30,93.00,93.00,202306,Jun,Thu,Afternoon,High
Coffee,Barista Espresso,Cappuccino Lg,Astoria,14,14,24,102.00,102.00,202306,Jun,Thu,Afternoon,High
Tea,Brewed herbal tea,Peppermint Rg,Astoria,6,6,10,25.00,25.00,202301,Jan,Tue,Afternoon,Low
Coffee,Barista Espresso,Cappuccino,Astoria,7,7,12,45.00,45.00,202306,Jun,Mon,Evening,High
Tea,Brewed herbal tea,Peppermint Lg,Astoria,10,10,15,45.00,45.00,202306,Jun,Mon,Evening,High
Coffee,Gourmet brewed coffee,Columbian Medium Roast Sm,Astoria,2,2,3,6.00,6.00,202302,Feb,Sun,Afternoon,Low
Coffee,Drip coffee,Our Old Time Diner Blend Lg,Astoria,8,8,13,39.00,39.00,202304,Apr,Sun,Evening,High
Tea,Brewed Chai tea,Spicy Eye Opener Chai Rg,Astoria,14,14,23,58.65,58.65,202306,Jun,Thu,Evening,High
Bakery,Biscotti,Hazelnut Biscotti,Astoria,10,10,11,35.75,35.75,202306,Jun,Thu,Evening,High
Loose Tea,Black tea,Earl Grey,Astoria,2,2,2,17.90,17.90,202301,Jan,Tue,Morning,Low
Coffee,Barista Espresso,Latte Rg,Astoria,14,14,21,89.25,89.25,202303,Mar,Fri,Evening,High
Coffee beans,Espresso Beans,Espresso Roast,Astoria,1,1,1,14.75,14.75,202301,Jan,Tue,Morning,Low
Tea,Brewed Green tea,Serenity Green Tea Lg,Astoria,16,16,22,66.00,66.00,202306,Jun,Thu,Evening,High
Coffee,Organic brewed coffee,Brazilian Sm,Astoria,12,12,18,39.60,39.60,202304,Apr,Mon,Evening,High
Coffee,Barista Espresso,Latte Rg,Astoria,5,5,6,25.50,25.50,202304,Apr,Sun,Evening,Low
Drinking Chocolate,Hot chocolate,Sustainably Grown Organic Lg,Astoria,11,11,15,71.25,71.25,202304,Apr,Fri,Morning,High
Bakery,Biscotti,Ginger Biscotti,Astoria,2,2,2,7.00,7.00,202304,Apr,Fri,Morning,Low
Tea,Brewed Chai tea,Morning Sunrise Chai Lg,Astoria,10,10,16,64.00,64.00,202303,Mar,Fri,Evening,High
Drinking Chocolate,Hot chocolate,Dark chocolate Rg,Astoria,7,7,9,31.50,31.50,202301,Jan,Thu,Morning,High
Bakery,Pastry,Croissant,Astoria,10,10,14,49.00,49.00,202303,Mar,Wed,Morning,High
Coffee,Barista Espresso,Latte,Astoria,14,14,17,63.75,63.75,202303,Mar,Wed,Morning,High
Coffee,Drip coffee,Our Old Time Diner Blend Sm,Astoria,9,9,14,28.00,28.00,202302,Feb,Sun,Evening,Low
Coffee,Drip coffee,Our Old Time Diner Blend Sm,Astoria,13,13,19,38.00,38.00,202303,Mar,Wed,Morning,High
Loose Tea,Chai tea,Traditional Blend Chai,Astoria,2,2,2,17.90,17.90,202301,Jan,Tue,Morning,Low
Coffee,Gourmet brewed coffee,Ethiopia Rg,Astoria,8,8,11,33.00,33.00,202306,Jun,Sun,Evening,High
Drinking Chocolate,Hot chocolate,Sustainably Grown Organic Lg,Astoria,15,15,22,104.50,104.50,202306,Jun,Thu,Evening,High
Bakery,Scone,Cranberry Scone,Astoria,2,2,2,6.50,6.50,202304,Apr,Mon,Afternoon,Low
Loose Tea,Herbal tea,Peppermint,Astoria,1,1,1,8.95,8.95,202301,Jan,Tue,Morning,Low
Coffee,Gourmet brewed coffee,Ethiopia Lg,Astoria,3,3,4,14.00,14.00,202301,Jan,Tue,Evening,Low
Coffee,Premium brewed coffee,Jamaican Coffee River Rg,Astoria,9,9,12,37.20,37.20,202304,Apr,Mon,Afternoon,High
Coffee,Barista Espresso,Latte Rg,Astoria,12,12,17,72.25,72.25,202306,Jun,Thu,Evening,High
Coffee beans,House blend Beans,Our Old Time Diner Blend,Astoria,1,1,1,18.00,18.00,202304,Apr,Sat,Evening,Low
Branded,Housewares,I Need My Bean! Latte cup,Astoria,2,2,2,28.00,28.00,202304,Apr,Sat,Evening,Low
Coffee,Gourmet brewed coffee,Ethiopia Sm,Astoria,1,1,1,2.20,2.20,202301,Jan,Tue,Afternoon,Low
Tea,Brewed Chai tea,Traditional Blend Chai Lg,Astoria,5,5,7,21.00,21.00,202304,Apr,Mon,Afternoon,Low
Drinking Chocolate,Hot chocolate,Sustainably Grown Organic Rg,Astoria,5,5,6,22.50,22.50,202304,Apr,Mon,Afternoon,Low
Bakery,Pastry,Chocolate Croissant,Astoria,4,4,4,15.00,15.00,202301,Jan,Tue,Evening,Low
Bakery,Pastry,Almond Croissant,Astoria,5,5,5,18.75,18.75,202303,Mar,Fri,Evening,Low
Drinking Chocolate,Hot chocolate,Dark chocolate Rg,Astoria,16,16,25,87.50,87.50,202303,Mar,Fri,Evening,High
Tea,Brewed herbal tea,Lemon Grass Rg,Astoria,16,16,26,65.00,65.00,202306,Jun,Thu,Evening,High
Coffee,Barista Espresso,Cappuccino,Astoria,2,2,3,11.25,11.25,202302,Feb,Sun,Afternoon,Low
Tea,Brewed herbal tea,Peppermint Lg,Astoria,6,6,10,30.00,30.00,202301,Jan,Tue,Evening,Low
Tea,Brewed Black tea,Earl Grey Lg,Astoria,11,11,16,48.00,48.00,202303,Mar,Wed,Morning,High
Coffee,Gourmet brewed coffee,Ethiopia Rg,Astoria,13,13,19,57.00,57.00,202306,Jun,Thu,Evening,High
Drinking Chocolate,Hot chocolate,Dark chocolate Rg,Astoria,11,11,17,59.50,59.50,202303,Mar,Wed,Morning,High
Coffee,Drip coffee,Our Old Time Diner Blend Sm,Astoria,15,15,21,42.00,42.00,202306,Jun,Thu,Evening,High
Drinking Chocolate,Hot chocolate,Sustainably Grown Organic Lg,Astoria,6,6,8,38.00,38.00,202303,Mar,Wed,Morning,High
Bakery,Scone,Oatmeal Scone,Astoria,9,9,10,30.00,30.00,202306,Jun,Thu,Evening,Low
Tea,Brewed Chai tea,Morning Sunrise Chai Lg,Astoria,4,4,6,24.00,24.00,202301,Jan,Tue,Evening,Low
Coffee,Gourmet brewed coffee,Ethiopia Sm,Astoria,5,5,8,17.60,17.60,202303,Mar,Wed,Morning,Low
Tea,Brewed Chai tea,Spicy Eye Opener Chai Lg,Astoria,17,17,24,74.40,74.40,202306,Jun,Thu,Evening,High
Loose Tea,Herbal tea,Peppermint,Astoria,1,1,1,8.95,8.95,202304,Apr,Sat,Evening,Low
Bakery,Scone,Cranberry Scone,Astoria,5,5,5,16.25,16.25,202303,Mar,Fri,Evening,Low
Tea,Brewed herbal tea,Peppermint Rg,Astoria,5,5,8,20.00,20.00,202304,Apr,Mon,Afternoon,Low
Tea,Brewed Chai tea,Spicy Eye Opener Chai Lg,Astoria,11,11,18,55.80,55.80,202306,Jun,Sun,Evening,High
Coffee,Gourmet brewed coffee,Ethiopia Lg,Astoria,8,8,11,38.50,38.50,202303,Mar,Wed,Morning,High
Coffee,Barista Espresso,Cappuccino,Astoria,10,10,13,48.75,48.75,202303,Mar,Wed,Morning,High
Coffee,Drip coffee,Our Old Time Diner Blend Lg,Astoria,6,6,9,27.00,27.00,202301,Jan,Thu,Morning,Low
Coffee,Organic brewed coffee,Brazilian Lg,Astoria,9,9,14,49.00,49.00,202304,Apr,Fri,Morning,High
Bakery,Scone,Jumbo Savory Scone,Astoria,11,11,11,41.25,41.25,202304,Apr,Sun,Afternoon,High
Coffee,Drip coffee,Our Old Time Diner Blend Rg,Astoria,6,6,8,20.00,20.00,202303,Mar,Fri,Evening,Low
Tea,Brewed Black tea,English Breakfast Lg,Astoria,9,9,15,45.00,45.00,202303,Mar,Fri,Evening,High
Coffee,Drip coffee,Our Old Time Diner Blend Rg,Astoria,11,11,17,42.50,42.50,202306,Jun,Thu,Evening,High
Tea,Brewed Chai tea,Morning Sunrise Chai Rg,Astoria,16,16,26,65.00,65.00,202306,Jun,Thu,Evening,High
Tea,Brewed Black tea,English Breakfast Lg,Astoria,5,5,8,24.00,24.00,202304,Apr,Sun,Evening,Low
Coffee,Barista Espresso,Espresso shot,Astoria,8,8,11,33.00,33.00,202301,Jan,Thu,Afternoon,High
Packaged Chocolate,Drinking Chocolate,Chili Mayan,Astoria,1,1,1,13.33,13.33,202301,Jan,Wed,Afternoon,Low
Bakery,Scone,Cranberry Scone,Astoria,9,9,9,29.25,29.25,202301,Jan,Thu,Morning,Low
Tea,Brewed Black tea,English Breakfast Lg,Astoria,5,5,7,21.00,21.00,202303,Mar,Wed,Afternoon,Low
Drinking Chocolate,Hot chocolate,Dark chocolate Rg,Astoria,13,13,18,63.00,63.00,202306,Jun,Sun,Evening,High
Bakery,Pastry,Croissant,Astoria,4,4,4,14.00,14.00,202306,Jun,Sun,Evening,Low
Coffee,Organic brewed coffee,Brazilian Rg,Astoria,3,3,5,15.00,15.00,202301,Jan,Mon,Afternoon,Low
Coffee,Barista Espresso,Cappuccino Lg,Astoria,6,6,9,38.25,38.25,202306,Jun,Sun,Evening,High
Tea,Brewed Chai tea,Traditional Blend Chai Lg,Astoria,6,6,9,27.00,27.00,202306,Jun,Sun,Evening,Low
Bakery,Pastry,Almond Croissant,Astoria,6,6,6,22.50,22.50,202306,Jun,Sun,Evening,Low
Tea,Brewed Green tea,Serenity Green Tea Rg,Astoria,7,7,12,30.00,30.00,202306,Jun,Sun,Evening,Low
Coffee,Organic brewed coffee,Brazilian Lg,Astoria,1,1,2,7.00,7.00,202304,Apr,Mon,Evening,Low
Tea,Brewed Chai tea,Spicy Eye Opener Chai Rg,Astoria,10,10,16,40.80,40.80,202304,Apr,Fri,Morning,High
Tea,Brewed Chai tea,Morning Sunrise Chai Lg,Astoria,2,2,2,8.00,8.00,202301,Jan,Thu,Afternoon,Low
Coffee,Barista Espresso,Cappuccino,Astoria,6,6,8,30.00,30.00,202301,Jan,Mon,Evening,Low
Coffee,Gourmet brewed coffee,Columbian Medium Roast Rg,Astoria,7,7,10,25.00,25.00,202302,Feb,Sun,Evening,Low
Coffee,Gourmet brewed coffee,Columbian Medium Roast Lg,Astoria,9,9,13,39.00,39.00,202304,Apr,Mon,Evening,High
Tea,Brewed Chai tea,Spicy Eye Opener Chai Rg,Astoria,6,6,8,20.40,20.40,202302,Feb,Sun,Evening,Low
Coffee,Barista Espresso,Espresso shot,Astoria,10,10,16,48.00,48.00,202303,Mar,Wed,Morning,High
Bakery,Biscotti,Chocolate Chip Biscotti,Astoria,12,12,15,52.50,52.50,202306,Jun,Thu,Evening,High
Bakery,Biscotti,Ginger Biscotti,Astoria,9,9,9,31.50,31.50,202306,Jun,Thu,Evening,High
Tea,Brewed herbal tea,Lemon Grass Lg,Astoria,11,11,17,51.00,51.00,202304,Apr,Fri,Morning,High
Tea,Brewed Black tea,Earl Grey Rg,Astoria,18,18,24,60.00,60.00,202303,Mar,Wed,Morning,High
Coffee,Drip coffee,Our Old Time Diner Blend Lg,Astoria,2,2,4,12.00,12.00,202301,Jan,Thu,Afternoon,Low
Coffee,Gourmet brewed coffee,Columbian Medium Roast Lg,Astoria,8,8,15,45.00,45.00,202306,Jun,Sun,Evening,High
Tea,Brewed Chai tea,Spicy Eye Opener Chai Rg,Astoria,11,11,16,40.80,40.80,202303,Mar,Wed,Morning,High
Bakery,Scone,Scottish Cream Scone ,Astoria,4,4,4,18.00,18.00,202301,Jan,Tue,Evening,Low
Coffee,Gourmet brewed coffee,Ethiopia Rg,Astoria,6,6,8,24.00,24.00,202301,Jan,Tue,Evening,Low
Tea,Brewed Chai tea,Traditional Blend Chai Lg,Astoria,6,6,7,21.00,21.00,202301,Jan,Tue,Evening,Low
Coffee,Drip coffee,Our Old Time Diner Blend Sm,Astoria,8,8,11,22.00,22.00,202304,Apr,Sun,Evening,Low
Bakery,Pastry,Chocolate Croissant,Astoria,9,9,9,33.75,33.75,202301,Jan,Wed,Morning,High
Coffee,Premium brewed coffee,Jamaican Coffee River Rg,Astoria,5,5,9,27.90,27.90,202303,Mar,Wed,Afternoon,Low
Tea,Brewed Black tea,English Breakfast Rg,Astoria,6,6,10,25.00,25.00,202302,Feb,Sun,Evening,Low
Coffee,Barista Espresso,Latte,Astoria,3,3,6,22.50,22.50,202302,Feb,Sun,Evening,Low
Tea,Brewed herbal tea,Peppermint Rg,Astoria,13,13,21,52.50,52.50,202304,Apr,Fri,Morning,High
Bakery,Biscotti,Hazelnut Biscotti,Astoria,1,1,1,3.25,3.25,202304,Apr,Mon,Afternoon,Low
Coffee,Gourmet brewed coffee,Columbian Medium Roast Rg,Astoria,19,19,27,67.50,67.50,202306,Jun,Thu,Evening,High
Tea,Brewed Green tea,Serenity Green Tea Rg,Astoria,5,5,6,15.00,15.00,202301,Jan,Wed,Morning,Low
Coffee,Gourmet brewed coffee,Ethiopia Sm,Astoria,5,5,8,17.60,17.60,202304,Apr,Mon,Afternoon,Low
Drinking Chocolate,Hot chocolate,Dark chocolate Lg,Astoria,6,6,9,40.50,40.50,202306,Jun,Sun,Evening,High
Coffee,Premium brewed coffee,Jamaican Coffee River Lg,Astoria,6,6,11,41.25,41.25,202304,Apr,Mon,Afternoon,High
Coffee,Premium brewed coffee,Jamaican Coffee River Sm,Astoria,9,9,12,29.40,29.40,202306,Jun,Thu,Evening,Low
Tea,Brewed Chai tea,Spicy Eye Opener Chai Rg,Astoria,8,8,12,30.60,30.60,202304,Apr,Mon,Afternoon,High
Coffee,Barista Espresso,Latte Rg,Astoria,9,9,15,63.75,63.75,202306,Jun,Sun,Evening,High
Tea,Brewed Black tea,English Breakfast Lg,Astoria,11,11,16,48.00,48.00,202306,Jun,Sun,Evening,High
Tea,Brewed Black tea,English Breakfast Lg,Astoria,7,7,11,33.00,33.00,202304,Apr,Fri,Morning,High
Drinking Chocolate,Hot chocolate,Sustainably Grown Organic Rg,Astoria,5,5,7,26.25,26.25,202306,Jun,Sun,Evening,Low
Tea,Brewed herbal tea,Peppermint Rg,Astoria,13,13,19,47.50,47.50,202306,Jun,Thu,Evening,High
Tea,Brewed Chai tea,Traditional Blend Chai Rg,Astoria,11,11,17,42.50,42.50,202303,Mar,Wed,Afternoon,High
Tea,Brewed herbal tea,Peppermint Rg,Astoria,11,11,16,40.00,40.00,202303,Mar,Wed,Afternoon,High
Coffee,Gourmet brewed coffee,Columbian Medium Roast Rg,Astoria,15,15,26,65.00,65.00,202304,Apr,Fri,Morning,High
Drinking Chocolate,Hot chocolate,Sustainably Grown Organic Rg,Astoria,8,8,10,37.50,37.50,202301,Jan,Wed,Morning,High
Coffee,Barista Espresso,Latte Rg,Astoria,10,10,13,55.25,55.25,202304,Apr,Fri,Morning,High
Tea,Brewed Chai tea,Morning Sunrise Chai Rg,Astoria,7,7,8,20.00,20.00,202306,Jun,Sun,Evening,Low
Bakery,Pastry,Croissant,Astoria,4,4,5,17.50,17.50,202303,Mar,Wed,Afternoon,Low
Bakery,Biscotti,Hazelnut Biscotti,Astoria,7,7,7,22.75,22.75,202306,Jun,Sun,Evening,Low
Coffee,Gourmet brewed coffee,Ethiopia Sm,Astoria,13,13,20,44.00,44.00,202306,Jun,Thu,Evening,High
Coffee,Gourmet brewed coffee,Columbian Medium Roast Lg,Astoria,2,2,3,9.00,9.00,202301,Jan,Thu,Afternoon,Low
Coffee,Organic brewed coffee,Brazilian Lg,Astoria,9,9,11,38.50,38.50,202306,Jun,Sun,Evening,High
Coffee,Organic brewed coffee,Brazilian Sm,Astoria,10,10,13,28.60,28.60,202303,Mar,Wed,Afternoon,Low
Coffee,Premium brewed coffee,Jamaican Coffee River Lg,Astoria,8,8,12,45.00,45.00,202306,Jun,Sun,Evening,High
Bakery,Pastry,Almond Croissant,Astoria,6,6,8,30.00,30.00,202306,Jun,Thu,Evening,Low
Coffee,Barista Espresso,Espresso shot,Astoria,4,4,6,18.00,18.00,202304,Apr,Fri,Afternoon,Low
Bakery,Scone,Scottish Cream Scone ,Astoria,3,3,3,13.50,13.50,202303,Mar,Wed,Afternoon,Low
Drinking Chocolate,Hot chocolate,Dark chocolate Rg,Astoria,11,11,16,56.00,56.00,202306,Jun,Sun,Afternoon,High
Coffee,Drip coffee,Our Old Time Diner Blend Lg,Astoria,9,9,14,42.00,42.00,202306,Jun,Sun,Afternoon,High
Tea,Brewed Green tea,Serenity Green Tea Rg,Astoria,9,9,15,37.50,37.50,202306,Jun,Sun,Afternoon,High
Coffee,Gourmet brewed coffee,Ethiopia Sm,Astoria,8,8,10,22.00,22.00,202306,Jun,Sun,Afternoon,Low
Coffee,Barista Espresso,Cappuccino,Astoria,7,7,11,41.25,41.25,202303,Mar,Wed,Afternoon,High
Drinking Chocolate,Hot chocolate,Dark chocolate Lg,Astoria,15,15,27,121.50,121.50,202306,Jun,Sun,Afternoon,High
Bakery,Pastry,Chocolate Croissant,Astoria,9,9,9,33.75,33.75,202306,Jun,Sun,Afternoon,High
Coffee,Gourmet brewed coffee,Ethiopia Sm,Astoria,6,6,7,15.40,15.40,202303,Mar,Wed,Afternoon,Low
Bakery,Biscotti,Hazelnut Biscotti,Astoria,4,4,4,13.00,13.00,202303,Mar,Fri,Afternoon,Low
Tea,Brewed Green tea,Serenity Green Tea Rg,Astoria,8,8,12,30.00,30.00,202302,Feb,Sat,Evening,Low
Tea,Brewed Chai tea,Morning Sunrise Chai Rg,Astoria,11,11,18,45.00,45.00,202306,Jun,Sun,Afternoon,High
Coffee,Drip coffee,Our Old Time Diner Blend Rg,Astoria,3,3,6,15.00,15.00,202301,Jan,Tue,Afternoon,Low
Coffee,Organic brewed coffee,Brazilian Lg,Astoria,3,3,5,17.50,17.50,202301,Jan,Tue,Evening,Low
Drinking Chocolate,Hot chocolate,Sustainably Grown Organic Lg,Astoria,10,10,13,61.75,61.75,202306,Jun,Sun,Afternoon,High
Tea,Brewed herbal tea,Peppermint Lg,Astoria,11,11,19,57.00,57.00,202306,Jun,Thu,Evening,High
Coffee,Barista Espresso,Cappuccino Lg,Astoria,5,5,7,29.75,29.75,202303,Mar,Fri,Evening,Low
Tea,Brewed herbal tea,Lemon Grass Rg,Astoria,7,7,9,22.50,22.50,202303,Mar,Wed,Afternoon,Low
Tea,Brewed Chai tea,Traditional Blend Chai Rg,Astoria,8,8,13,32.50,32.50,202306,Jun,Thu,Evening,High
Coffee,Gourmet brewed coffee,Columbian Medium Roast Lg,Astoria,8,8,12,36.00,36.00,202303,Mar,Fri,Evening,High
Tea,Brewed Chai tea,Spicy Eye Opener Chai Rg,Astoria,8,8,13,33.15,33.15,202303,Mar,Fri,Evening,High
Coffee,Drip coffee,Our Old Time Diner Blend Sm,Astoria,6,6,10,20.00,20.00,202301,Jan,Tue,Afternoon,Low
Tea,Brewed Black tea,Earl Grey Rg,Astoria,7,7,10,25.00,25.00,202304,Apr,Fri,Afternoon,Low
Tea,Brewed Black tea,Earl Grey Rg,Astoria,6,6,10,25.00,25.00,202303,Mar,Wed,Afternoon,Low
Drinking Chocolate,Hot chocolate,Sustainably Grown Organic Rg,Astoria,4,4,7,26.25,26.25,202303,Mar,Wed,Afternoon,Low
Bakery,Scone,Oatmeal Scone,Astoria,6,6,6,18.00,18.00,202302,Feb,Sun,Afternoon,Low
Tea,Brewed Black tea,Earl Grey Rg,Astoria,6,6,9,22.50,22.50,202306,Jun,Sun,Afternoon,Low
Coffee,Gourmet brewed coffee,Ethiopia Rg,Astoria,9,9,12,36.00,36.00,202306,Jun,Sun,Afternoon,High
Coffee,Premium brewed coffee,Jamaican Coffee River Rg,Astoria,11,11,16,49.60,49.60,202302,Feb,Sun,Morning,High
Coffee,Drip coffee,Our Old Time Diner Blend Lg,Astoria,9,9,12,36.00,36.00,202301,Jan,Tue,Afternoon,High
Coffee beans,Premium Beans,Jamacian Coffee River,Astoria,1,1,1,19.75,19.75,202304,Apr,Sat,Evening,Low
Tea,Brewed herbal tea,Lemon Grass Rg,Astoria,10,10,13,32.50,32.50,202306,Jun,Sun,Afternoon,High
Bakery,Scone,Jumbo Savory Scone,Astoria,5,5,5,18.75,18.75,202306,Jun,Sun,Afternoon,Low
Tea,Brewed herbal tea,Lemon Grass Rg,Astoria,7,7,8,20.00,20.00,202303,Mar,Fri,Evening,Low
Tea,Brewed Black tea,Earl Grey Rg,Astoria,16,16,24,60.00,60.00,202306,Jun,Thu,Evening,High
Tea,Brewed Black tea,English Breakfast Rg,Astoria,15,15,21,52.50,52.50,202306,Jun,Sun,Afternoon,High
Tea,Brewed Chai tea,Spicy Eye Opener Chai Rg,Astoria,8,8,11,28.05,28.05,202302,Feb,Sun,Morning,Low
Tea,Brewed Chai tea,Spicy Eye Opener Chai Lg,Astoria,7,7,12,37.20,37.20,202306,Jun,Sun,Afternoon,High
Coffee,Barista Espresso,Cappuccino Lg,Astoria,3,3,4,17.00,17.00,202301,Jan,Tue,Afternoon,Low
Coffee,Barista Espresso,Espresso shot,Astoria,8,8,14,42.00,42.00,202303,Mar,Fri,Evening,High
Tea,Brewed Black tea,Earl Grey Lg,Astoria,10,10,15,45.00,45.00,202306,Jun,Sun,Afternoon,High
Coffee,Gourmet brewed coffee,Ethiopia Rg,Astoria,2,2,3,9.00,9.00,202301,Jan,Tue,Afternoon,Low
Branded,Clothing,I Need My Bean! T-shirt,Astoria,2,2,2,56.00,56.00,202301,Jan,Thu,Morning,High
Coffee,Organic brewed coffee,Brazilian Lg,Astoria,5,5,8,28.00,28.00,202304,Apr,Fri,Afternoon,Low
Bakery,Biscotti,Chocolate Chip Biscotti,Astoria,8,8,8,28.00,28.00,202306,Jun,Sun,Afternoon,Low
Tea,Brewed herbal tea,Lemon Grass Lg,Astoria,3,3,3,9.00,9.00,202301,Jan,Tue,Evening,Low
Tea,Brewed herbal tea,Lemon Grass Lg,Astoria,4,4,6,18.00,18.00,202302,Feb,Sun,Evening,Low
Bakery,Biscotti,Chocolate Chip Biscotti,Astoria,8,8,10,35.00,35.00,202303,Mar,Wed,Evening,High
Coffee,Gourmet brewed coffee,Ethiopia Sm,Astoria,9,9,14,30.80,30.80,202303,Mar,Wed,Evening,High
Tea,Brewed Chai tea,Traditional Blend Chai Lg,Astoria,8,8,10,30.00,30.00,202303,Mar,Fri,Afternoon,Low
Flavours,Regular syrup,Chocolate syrup,Astoria,1,1,1,0.80,0.80,202301,Jan,Wed,Afternoon,Low
Coffee,Premium brewed coffee,Jamaican Coffee River Lg,Astoria,13,13,21,78.75,78.75,202306,Jun,Sun,Afternoon,High
Bakery,Pastry,Chocolate Croissant,Astoria,7,7,8,30.00,30.00,202303,Mar,Wed,Evening,Low
Tea,Brewed herbal tea,Lemon Grass Lg,Astoria,5,5,6,18.00,18.00,202303,Mar,Wed,Evening,Low
Bakery,Scone,Oatmeal Scone,Astoria,3,3,3,9.00,9.00,202304,Apr,Sun,Evening,Low
Bakery,Biscotti,Chocolate Chip Biscotti,Astoria,5,5,5,17.50,17.50,202301,Jan,Tue,Evening,Low
